Environment,Agent,Agent_Type,Mean,Std,SEM,CI_Lower_95,CI_Upper_95,Recovery_Rate_Mean,Recovery_Rate_Std,Recovery_Time_Mean,Recovery_Time_Std,N_Master_Seeds,Total_Experiments,Success_Rate
EnvB,CA_EpsilonGreedy,IMPROVED_BASELINE,0.48460228904788605,0.0035465801974179055,0.001023809515840912,0.4823488994967685,0.4868556785990036,0.3578161051637511,0.00472340533884624,25.04472222222222,0.18939454377008014,12,3600,1.0
EnvB,SW_UCB,IMPROVED_BASELINE,0.6429680881774349,0.0003905703641821767,0.00011274795244903495,0.6427199316072648,0.643216244747605,0.6949565116175461,0.0010385060679610415,5.96763888888889,0.05421027446918795,12,3600,1.0
EnvB,Adaptive_TS,IMPROVED_BASELINE,0.5539735117596646,0.0005169197139909517,0.00014922186801105016,0.5536450766426124,0.5543019468767167,0.49655636733720754,0.002134744512553918,22.276458333333334,0.044768081645958906,12,3600,1.0
EnvB,Naive_EpsilonGreedy,NAIVE_BASELINE,0.5657937720975029,0.004536381979657171,0.0013095406785510178,0.5629114924974872,0.5686760516975187,0.48471724014896084,0.004609039779805495,20.299861111111113,0.2782436717969732,12,3600,1.0
EnvB,Naive_UCB,NAIVE_BASELINE,0.8521813810017442,0.0007961589911295019,0.0002298313039231794,0.8516755257124868,0.8526872362910016,0.8652992371890189,0.0015771857844113781,5.143888888888889,0.04407922861237175,12,3600,1.0
EnvB,Naive_TS,NAIVE_BASELINE,0.479939679121919,0.0012774669314183289,0.0003687729383676087,0.4791280153571317,0.4807513428867063,0.41747775357293143,0.0009312480685560012,22.919236111111108,0.24552910985987017,12,3600,1.0
EnvB,ECIA_Full,ECIA,0.8014476867542152,0.003613189391835669,0.001043037934004712,0.7991519757400672,0.8037433977683631,0.7704026765846695,0.00550280093215907,8.23659722222222,0.19679652561029606,12,3600,1.0
EnvB,ECIA_NoEmotion,ECIA,0.8146158726107005,0.0046268739476118806,0.001335663459580093,0.8116760971572996,0.8175556480641013,0.7890157939007806,0.007358279652293516,7.451736111111113,0.25653799496888224,12,3600,1.0
EnvB,ECIA_NoMemory,ECIA,0.7724730130359895,0.004593541663971899,0.0013260412581139686,0.7695544159052229,0.7753916101667561,0.7232760279560907,0.0070547581371913,9.874930555555554,0.2626096460452049,12,3600,1.0
EnvB,ECIA_NoDopamine,ECIA,0.8423763607895465,0.001744901636717879,0.0005037097148342431,0.8412677031822067,0.8434850183968863,0.8347491295728137,0.0027347226272251227,6.012013888888888,0.09065186915432484,12,3600,1.0
EnvB,ECIA_NoDop_NoMem,ECIA,0.7680320491148218,0.0017937384441811335,0.000517807686801879,0.766892362080394,0.7691717361492496,0.7201751337777632,0.002962826829704086,9.742638888888889,0.09523778315094371,12,3600,1.0
EnvB,ECIA_NoDop_NoEmo,ECIA,0.8360847801574706,0.0018630454542628335,0.0005378148972655778,0.8349010575497174,0.8372685027652237,0.8238798333765075,0.003024761922877095,6.369513888888889,0.10422079612119546,12,3600,1.0
EnvB,ECIA_NoMem_NoEmo,ECIA,0.7607936315796744,0.004225193707564706,0.0012197083622203981,0.7581090715747982,0.7634781915845505,0.6992372328456805,0.006203202919446239,10.331319444444444,0.22683190931805985,12,3600,1.0
EnvB,ECIA_NoAll,ECIA,0.7502789612569961,0.0013352791656070177,0.0003854618928532553,0.7494305653510486,0.7511273571629437,0.6912417222274776,0.0021666816631149164,10.444652777777776,0.06722892958961507,12,3600,1.0
