Environment,Agent,Agent_Type,Mean,Std,SEM,CI_Lower_95,CI_Upper_95,Recovery_Rate_Mean,Recovery_Rate_Std,Recovery_Time_Mean,Recovery_Time_Std,N_Master_Seeds,Total_Experiments,Success_Rate
EnvA,CA_EpsilonGreedy,IMPROVED_BASELINE,0.5349904485345318,0.005718698329589841,0.0016508460100014791,0.5313569609649365,0.5386239361041272,0.2859900787340377,0.006999650712547501,47.20222222222222,0.6789088922312173,12,3600,1.0
EnvA,SW_UCB,IMPROVED_BASELINE,0.6011494763123094,0.0006266561469484961,0.00018090004756502395,0.6007513179921605,0.6015476346324583,0.9038824398451489,0.0035839750893240656,6.222222222222222,0.09680386177380006,12,3600,1.0
EnvA,Adaptive_TS,IMPROVED_BASELINE,0.6026761429789761,0.004170795225185937,0.0012040048729979535,0.60002614612084,0.6053261398371121,0.28314054169700065,0.007670191012074014,44.53,0.6351159124303398,12,3600,1.0
EnvA,Naive_EpsilonGreedy,NAIVE_BASELINE,0.550913781867865,0.0047107655529786815,0.001359880880050729,0.5479207042313928,0.5539068595043372,0.2977134583636673,0.004181057627539743,46.317499999999995,0.43024782909904996,12,3600,1.0
EnvA,Naive_UCB,NAIVE_BASELINE,0.7685022540900871,0.0023290245847486795,0.0006723314854769533,0.7670224624678958,0.7699820457122784,0.7429136898451487,0.012398375932483338,14.968055555555557,0.5454754269057631,12,3600,1.0
EnvA,Naive_TS,NAIVE_BASELINE,0.575376281867865,0.005202160431686536,0.0015017343628009208,0.5720709868209536,0.5786815769147765,0.3071266528081118,0.007254466126883186,42.68694444444444,0.6077348019540865,12,3600,1.0
EnvA,ECIA_Full,ECIA,0.8193860040900874,0.0006975961591408839,0.00020137866513281918,0.8189427726365728,0.8198292355436021,0.9731185509562598,0.003363142548996438,7.0424999999999995,0.13717469937327423,12,3600,1.0
EnvA,ECIA_NoEmotion,ECIA,0.819791281867865,0.0007489811210302053,0.00021621222592236837,0.8193154019671813,0.8202671617685486,0.9703882268821858,0.0025067928914214574,7.009999999999999,0.1089342309224547,12,3600,1.0
EnvA,ECIA_NoMemory,ECIA,0.8162303096456428,0.0010280024431477681,0.00029675874363947844,0.8155771480547674,0.8168834712365182,0.9712875324377412,0.004305503780398437,7.206944444444445,0.1464990098142073,12,3600,1.0
EnvA,ECIA_NoDopamine,ECIA,0.8114757263123095,0.0014683802310692846,0.0004238848608402882,0.8105427620240162,0.8124086906006027,0.9436856805858894,0.00937056020433115,7.987499999999998,0.36677050297406943,12,3600,1.0
EnvA,ECIA_NoDop_NoMem,ECIA,0.8037007263123095,0.0005756700271117426,0.00016618162255868188,0.8033349630271793,0.8040664895974396,0.8919183194747785,0.002952551865482414,9.455,0.09995832464915884,12,3600,1.0
EnvA,ECIA_NoDop_NoEmo,ECIA,0.8077071152011985,0.0020110774764743383,0.0005805480612018262,0.8064293375337784,0.8089848928686186,0.9165236435488523,0.01284337065215962,8.966111111111111,0.5012647584108535,12,3600,1.0
EnvA,ECIA_NoMem_NoEmo,ECIA,0.815487531867865,0.0009145586570730469,0.0002640103434254131,0.8149064490198773,0.8160686147158528,0.9625745694747784,0.004051648032677906,7.347222222222222,0.14978276450650088,12,3600,1.0
EnvA,ECIA_NoAll,ECIA,0.801022809645643,0.0007595007343671378,0.00021924897671829274,0.8005402459015226,0.8015053733897634,0.8728315139192228,0.004014893812805348,9.998055555555554,0.16970812816548342,12,3600,1.0
