Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
CA_EpsilonGreedy,SW_UCB,0.3701348658481611,0.5513868847742448,-0.18125201892608372,1.299791964850023e-20,-44.050431799128795,1.1828106880135208e-18,True,True
CA_EpsilonGreedy,Adaptive_TS,0.3701348658481611,0.5245502769681928,-0.1544154111200317,5.076506710986183e-25,-33.124667756121916,4.6196211069974265e-23,True,True
CA_EpsilonGreedy,Naive_EpsilonGreedy,0.3701348658481611,0.42114073748335645,-0.05100587163519538,1.2440661629798848e-15,-8.67239236484462,1.1321002083116952e-13,True,True
CA_EpsilonGreedy,Naive_UCB,0.3701348658481611,0.6740627445137636,-0.3039278786656025,2.567742372567801e-30,-65.52950504051047,2.3366455590366986e-28,True,True
CA_EpsilonGreedy,Naive_TS,0.3701348658481611,0.4809830176422349,-0.11084815179407381,3.3108831217787056e-20,-25.39668360030941,3.012903640818622e-18,True,True
CA_EpsilonGreedy,ECIA_Full,0.3701348658481611,0.761751828970033,-0.39161696312187194,2.911307087017573e-26,-93.48227863213263,2.649289449185992e-24,True,True
CA_EpsilonGreedy,ECIA_NoEmotion,0.3701348658481611,0.7588914423366441,-0.388756576488483,2.0620134877570437e-26,-92.53297165550734,1.8764322738589096e-24,True,True
CA_EpsilonGreedy,ECIA_NoMemory,0.3701348658481611,0.7611611150879264,-0.3910262492397653,2.8547821759712906e-25,-94.69285824808743,2.5978517801338744e-23,True,True
CA_EpsilonGreedy,ECIA_NoDopamine,0.3701348658481611,0.7235737257600169,-0.3534388599118558,1.6340297709259353e-28,-80.62021905693877,1.486967091542601e-26,True,True
CA_EpsilonGreedy,ECIA_NoDop_NoMem,0.3701348658481611,0.7248026376102857,-0.35466777176212466,8.206440602516189e-26,-84.46266984623979,7.467860948289732e-24,True,True
CA_EpsilonGreedy,ECIA_NoDop_NoEmo,0.3701348658481611,0.7140793287328572,-0.3439444628846961,2.3074059773461617e-29,-77.05015601499136,2.0997394393850073e-27,True,True
CA_EpsilonGreedy,ECIA_NoMem_NoEmo,0.3701348658481611,0.7550616261467851,-0.384926760298624,1.7646845498281064e-25,-92.80665918729514,1.6058629403435768e-23,True,True
