Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
CA_EpsilonGreedy,SW_UCB,0.48460228904788605,0.6429680881774349,-0.15836579912954885,7.325863179004183e-20,-62.76954070550547,6.666535492893807e-18,True,True
CA_EpsilonGreedy,Adaptive_TS,0.48460228904788605,0.5539735117596646,-0.06937122271177854,5.057472115087178e-16,-27.372842837136492,4.6022996247293315e-14,True,True
CA_EpsilonGreedy,Naive_EpsilonGreedy,0.48460228904788605,0.5657937720975029,-0.08119148304961687,1.5092498563158633e-22,-19.94058550999447,1.3734173692474355e-20,True,True
CA_EpsilonGreedy,Naive_UCB,0.48460228904788605,0.8521813810017442,-0.3675790919538582,2.1499208235737043e-25,-143.01443294660805,1.9564279494520708e-23,True,True
CA_EpsilonGreedy,Naive_TS,0.48460228904788605,0.479939679121919,0.004662609925967065,0.0011071365163170602,1.749221098073452,0.10074942298485248,False,True
CA_EpsilonGreedy,ECIA_Full,0.48460228904788605,0.8014476867542152,-0.31684539770632913,1.056718946619493e-37,-88.50331929293715,9.616142414237386e-36,True,True
CA_EpsilonGreedy,ECIA_NoEmotion,0.48460228904788605,0.8146158726107005,-0.3300135835628144,8.351839211349163e-35,-80.05630663804754,7.600173682327739e-33,True,True
CA_EpsilonGreedy,ECIA_NoMemory,0.48460228904788605,0.7724730130359895,-0.2878707239881034,1.0291017955668956e-33,-70.15099440526873,9.36482633965875e-32,True,True
CA_EpsilonGreedy,ECIA_NoDopamine,0.48460228904788605,0.8423763607895465,-0.3577740717416604,1.720369325201047e-31,-128.0096932284142,1.5655360859329526e-29,True,True
CA_EpsilonGreedy,ECIA_NoDop_NoMem,0.48460228904788605,0.7680320491148218,-0.28342976006693577,3.1742446593271476e-30,-100.8534162843912,2.8885626399877044e-28,True,True
CA_EpsilonGreedy,ECIA_NoDop_NoEmo,0.48460228904788605,0.8360847801574706,-0.3514824911095845,2.774488202322443e-32,-124.07732224096469,2.524784264113423e-30,True,True
CA_EpsilonGreedy,ECIA_NoMem_NoEmo,0.48460228904788605,0.7607936315796744,-0.27619134253178834,1.0145745067461834e-34,-70.80608221468671,9.232628011390269e-33,True,True
CA_EpsilonGreedy,ECIA_NoAll,0.48460228904788605,0.7502789612569961,-0.26567667220911007,1.3246849835585838e-26,-99.14550564183311,1.2054633350383113e-24,True,True
SW_UCB,Adaptive_TS,0.6429680881774349,0.5539735117596646,0.08899457641777031,1.717381275922302e-42,194.25963343946307,1.5628169610892949e-40,True,True
SW_UCB,Naive_EpsilonGreedy,0.6429680881774349,0.5657937720975029,0.07717431607993197,4.7305693304851155e-15,23.970354075432443,4.304818090741455e-13,True,True
SW_UCB,Naive_UCB,0.6429680881774349,0.8521813810017442,-0.20921329282430934,4.178162318861053e-38,-333.64034249444427,3.8021277101635584e-36,True,True
SW_UCB,Naive_TS,0.6429680881774349,0.479939679121919,0.1630284090555159,4.091772556794005e-28,172.59333926518502,3.7235130266825446e-26,True,True
SW_UCB,ECIA_Full,0.6429680881774349,0.8014476867542152,-0.1584795985767803,9.231375052172378e-20,-61.6701557643488,8.400551297476864e-18,True,True
