Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
CA_EpsilonGreedy,SW_UCB,0.5349904485345318,0.6011494763123094,-0.0661590277777776,2.878675618932849e-13,-16.263536561925175,2.6195948132288925e-11,True,True
CA_EpsilonGreedy,Adaptive_TS,0.5349904485345318,0.6026761429789761,-0.06768569444444428,1.1748394185261492e-18,-13.523751133160298,1.0691038708587958e-16,True,True
CA_EpsilonGreedy,Naive_EpsilonGreedy,0.5349904485345318,0.550913781867865,-0.01592333333333318,4.67962811340988e-07,-3.0393680309659548,4.2584615832029907e-05,True,True
CA_EpsilonGreedy,Naive_UCB,0.5349904485345318,0.7685022540900871,-0.23351180555555529,1.7254931653686617e-23,-53.481378129857774,1.5701987804854821e-21,True,True
CA_EpsilonGreedy,Naive_TS,0.5349904485345318,0.575376281867865,-0.04038583333333323,3.1123071458349504e-14,-7.3878319889488715,2.832199502709805e-12,True,True
CA_EpsilonGreedy,ECIA_Full,0.5349904485345318,0.8193860040900874,-0.2843955555555556,1.7972674079116357e-20,-69.81249974747331,1.6355133411995885e-18,True,True
CA_EpsilonGreedy,ECIA_NoEmotion,0.5349904485345318,0.819791281867865,-0.28480083333333317,1.509247476883968e-20,-69.83383019690079,1.3734152039644109e-18,True,True
CA_EpsilonGreedy,ECIA_NoMemory,0.5349904485345318,0.8162303096456428,-0.281239861111111,6.112972168509057e-21,-68.45240741963393,5.562804673343242e-19,True,True
CA_EpsilonGreedy,ECIA_NoDopamine,0.5349904485345318,0.8114757263123095,-0.27648527777777765,7.756199591380868e-22,-66.22553736483172,7.05814162815659e-20,True,True
CA_EpsilonGreedy,ECIA_NoDop_NoMem,0.5349904485345318,0.8037007263123095,-0.2687102777777777,4.732331023188165e-20,-66.11693829640858,4.3064212311012305e-18,True,True
CA_EpsilonGreedy,ECIA_NoDop_NoEmo,0.5349904485345318,0.8077071152011985,-0.2727166666666667,2.2802027658733373e-23,-63.62241638286411,2.074984516944737e-21,True,True
CA_EpsilonGreedy,ECIA_NoMem_NoEmo,0.5349904485345318,0.815487531867865,-0.28049708333333323,1.0022844859380752e-20,-68.49553840813365,9.120788822036485e-19,True,True
CA_EpsilonGreedy,ECIA_NoAll,0.5349904485345318,0.801022809645643,-0.26603236111111117,3.170252130743286e-20,-65.21620325966505,2.88492943897639e-18,True,True
SW_UCB,Adaptive_TS,0.6011494763123094,0.6026761429789761,-0.0015266666666666762,0.2540853257863944,-0.5119090930767689,1.0,False,False
SW_UCB,Naive_EpsilonGreedy,0.6011494763123094,0.550913781867865,0.05023569444444442,5.824379622486044e-13,14.949507283450968,5.3001854564623e-11,True,True
SW_UCB,Naive_UCB,0.6011494763123094,0.7685022540900871,-0.16735277777777768,3.4602317933266676e-24,-98.12877927729961,3.1488109319272675e-22,True,True
SW_UCB,Naive_TS,0.6011494763123094,0.575376281867865,0.02577319444444437,3.2345071917760688e-09,6.956185759134002,2.9434015445162225e-07,True,True
SW_UCB,ECIA_Full,0.6011494763123094,0.8193860040900874,-0.21823652777777802,9.232154132825772e-50,-329.12770350493685,8.401260260871453e-48,True,True
SW_UCB,ECIA_NoEmotion,0.6011494763123094,0.819791281867865,-0.21864180555555557,1.4512831004314132e-48,-316.6277649549717,1.320667621392586e-46,True,True
SW_UCB,ECIA_NoMemory,0.6011494763123094,0.8162303096456428,-0.2150808333333334,2.0041687250464825e-40,-252.64432858025674,1.823793539792299e-38,True,True
SW_UCB,ECIA_NoDopamine,0.6011494763123094,0.8114757263123095,-0.21032625000000005,5.573793505539524e-32,-186.31049653091733,5.072152090040967e-30,True,True
SW_UCB,ECIA_NoDop_NoMem,0.6011494763123094,0.8037007263123095,-0.20255125000000007,3.690647016999084e-50,-336.6297380157412,3.358488785469166e-48,True,True
SW_UCB,ECIA_NoDop_NoEmo,0.6011494763123094,0.8077071152011985,-0.20655763888888912,5.186360936672256e-27,-138.67722908585225,4.719588452371752e-25,True,True
SW_UCB,ECIA_NoMem_NoEmo,0.6011494763123094,0.815487531867865,-0.21433805555555563,1.4591155385179006e-43,-273.41223374912016,1.3277951400512895e-41,True,True
SW_UCB,ECIA_NoAll,0.6011494763123094,0.801022809645643,-0.19987333333333357,1.8570441064823556e-47,-287.0695616144016,1.6899101368989436e-45,True,True
Adaptive_TS,Naive_EpsilonGreedy,0.6026761429789761,0.550913781867865,0.0517623611111111,2.820070660538425e-18,11.634658254130029,2.5662643010899666e-16,True,True
Adaptive_TS,Naive_UCB,0.6026761429789761,0.7685022540900871,-0.165826111111111,2.40787613515533e-26,-49.09204870196438,2.1911672829913504e-24,True,True
Adaptive_TS,Naive_TS,0.6026761429789761,0.575376281867865,0.027299861111111046,7.175064555316059e-12,5.7902917343013955,6.529308745337614e-10,True,True
Adaptive_TS,ECIA_Full,0.6026761429789761,0.8193860040900874,-0.21670986111111135,4.351230841846347e-21,-72.47421549718361,3.9596200660801756e-19,True,True
Adaptive_TS,ECIA_NoEmotion,0.6026761429789761,0.819791281867865,-0.2171151388888889,3.1567027741186676e-21,-72.45930977989087,2.8725995244479874e-19,True,True
Adaptive_TS,ECIA_NoMemory,0.6026761429789761,0.8162303096456428,-0.2135541666666667,5.396997390156853e-22,-70.3068332383882,4.911267625042736e-20,True,True
Adaptive_TS,ECIA_NoDopamine,0.6026761429789761,0.8114757263123095,-0.20879958333333337,1.153298919867902e-23,-66.78096024432082,1.0495020170797909e-21,True,True
