Environment,Agent,Agent_Type,Mean,Std,SEM,CI_Lower_95,CI_Upper_95,Recovery_Rate_Mean,Recovery_Rate_Std,Recovery_Time_Mean,Recovery_Time_Std,N_Master_Seeds,Total_Experiments,Success_Rate
EnvC,CA_EpsilonGreedy,IMPROVED_BASELINE,0.3701348658481611,0.005543216605248672,0.0016001887996083622,0.36661287404689213,0.37365685764943,0.35773222080539857,0.007501628221484871,39.39944444444445,0.5060631355071642,12,3600,1.0
EnvC,SW_UCB,IMPROVED_BASELINE,0.5513868847742448,0.0017701427011205706,0.0005109961824980064,0.5502621897597076,0.552511579788782,0.6874342359156315,0.0036744149605725906,14.042777777777777,0.3929820308146539,12,3600,1.0
EnvC,Adaptive_TS,IMPROVED_BASELINE,0.5245502769681928,0.003568557214976876,0.0010301537343427403,0.5222829238863004,0.5268176300500852,0.33776727395174255,0.005181326113670916,38.159814814814816,0.3994975839925847,12,3600,1.0
EnvC,Naive_EpsilonGreedy,NAIVE_BASELINE,0.42114073748335645,0.006201181579136296,0.0017901269270040447,0.41720069468235566,0.42508078028435725,0.33767777555430406,0.006964046520560157,39.81055555555555,0.5318560752437294,12,3600,1.0
EnvC,Naive_UCB,NAIVE_BASELINE,0.6740627445137636,0.003506481654680648,0.0010122340636191784,0.6718348323612073,0.6762906566663198,0.6163607978812312,0.009668930219143411,17.497777777777774,0.38401094163080923,12,3600,1.0
EnvC,Naive_TS,NAIVE_BASELINE,0.4809830176422349,0.002715408647658215,0.0007838709568426541,0.47925772929880417,0.4827083059856656,0.3291537916780844,0.0025968113106582986,40.770370370370365,0.350841531921837,12,3600,1.0
EnvC,ECIA_Full,ECIA,0.761751828970033,0.0020908664383961317,0.0006035811505237804,0.7604233558148243,0.7630803021252417,0.8164044317163799,0.00622895234026977,8.397592592592591,0.1765663780878348,12,3600,1.0
EnvC,ECIA_NoEmotion,ECIA,0.7588914423366441,0.002138736539386229,0.000617400058370164,0.757532553970337,0.7602503307029511,0.8069267767161009,0.00501200375029314,8.689814814814815,0.14828084335072106,12,3600,1.0
EnvC,ECIA_NoMemory,ECIA,0.7611611150879264,0.001837637225362239,0.0005304801733678829,0.7599935360986254,0.7623286940772274,0.8210568577637942,0.00485154800255696,8.156574074074072,0.15746673718476556,12,3600,1.0
EnvC,ECIA_NoDopamine,ECIA,0.7235737257600169,0.0027769808102496196,0.0008016453091660215,0.7218093163308924,0.7253381351891414,0.7073425112433647,0.005890754923764455,13.042870370370368,0.2834663661301342,12,3600,1.0
EnvC,ECIA_NoDop_NoMem,ECIA,0.7248026376102857,0.0021301984873020713,0.0006149353350355923,0.7234491740634618,0.7261561011571097,0.722639797091101,0.00403632793214061,12.361851851851853,0.16525720901163563,12,3600,1.0
EnvC,ECIA_NoDop_NoEmo,ECIA,0.7140793287328572,0.003020863948109469,0.0008720483068131188,0.712159963350686,0.7159986941150284,0.6854983331070722,0.005567425041529942,14.09287037037037,0.2327167595856479,12,3600,1.0
EnvC,ECIA_NoMem_NoEmo,ECIA,0.7550616261467851,0.001917877421564429,0.0005536435228064643,0.753843064969112,0.7562801873244581,0.801115329679157,0.004549293626292044,8.752129629629628,0.15029426440223356,12,3600,1.0
EnvC,ECIA_NoAll,ECIA,0.7166170298586985,0.0018011675433468593,0.0005199522830034631,0.7154726225998566,0.7177614371175404,0.7007091266244302,0.0036479790874387524,13.172129629629632,0.11080370283710846,12,3600,1.0
